time,device,signals,fault
0,W25Q5121,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0",0x3
0,pc1041,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0",0x3
1,W25Q5122,"0x1,0x1,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1",0x1
2,MAX4881,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
3,MAX4882,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
4,MAX4883,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
5,MAX4884,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
6,TJA1050,"0x0,0x0,0x1,0x0,0x1,0x0,0x1,0x1,0x1,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x1,0x1,0x1,0x0,0x1,0x1,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x0,0x1,0x1,0x0,0x1,0x0,0x0,0x1,0x0,0x0,0x0,0x0",0x1
7,SN74AHC2731,"0x0,0x1",0x5
7,uln2803a1,"0x0,0x1",0x5
7,pc1041,"0x0,0x0",0x5
8,SN74AHC2732,"0x0,0x1",0x5
8,uln2803a2,"0x0,0x1",0x5
8,pc1041,"0x0,0x0",0x5
9,SN74HC175,"0x0,0x1",0x0
9,uln2803a3,"0x0,0x1",0x0
9,pc1042,"0x1,0x0",0x0
10,ADS83441,"0x0,0x1",0x0
10,pc1042,"0x0,0x1",0x0
11,ADS83442,"0x0,0x1",0x0
11,pc1042,"0x0,0x1",0x0
12,JB1910,"0x0,0x1",0x0
12,pc1041,"0x0,0x1",0x0
13,W25Q5121,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x2
13,pc1041,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x2
14,W25Q5122,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x0
14,pc1041,"0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1,0x0",0x0
15,MAX4881,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1",0x1
16,MAX4882,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
17,MAX4883,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
18,MAX4884,"0x0,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0",0x0
